# Logfile created on 2022-03-03 10:13:17 +0100 by logger.rb/v1.5.0
D, [2022-03-03T10:14:09.612835 #19712] DEBUG -- :    (0.2ms)  SELECT 1
D, [2022-03-09T15:23:45.942350 #14472] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-09T15:23:45.943539 #14472] DEBUG -- :   Category Create (0.7ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('ELE', 'Electronics', '2022-03-09 14:23:45.941008', '2022-03-09 14:23:45.941008')
D, [2022-03-09T15:23:45.958256 #14472] DEBUG -- :   TRANSACTION (12.1ms)  COMMIT
D, [2022-03-09T15:23:45.959479 #14472] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-09T15:23:45.960459 #14472] DEBUG -- :   Category Create (0.6ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('GAM', 'Gaming', '2022-03-09 14:23:45.958739', '2022-03-09 14:23:45.958739')
D, [2022-03-09T15:23:45.967860 #14472] DEBUG -- :   TRANSACTION (6.9ms)  COMMIT
D, [2022-03-09T15:23:45.968597 #14472] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-09T15:23:45.969031 #14472] DEBUG -- :   Category Create (0.3ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('FRN', 'Furniture', '2022-03-09 14:23:45.968156', '2022-03-09 14:23:45.968156')
D, [2022-03-09T15:23:45.977915 #14472] DEBUG -- :   TRANSACTION (8.6ms)  COMMIT
D, [2022-03-09T15:33:12.538380 #6176] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-09T15:33:12.539596 #6176] DEBUG -- :   Category Create (0.7ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('PCR', 'produit', '2022-03-09 14:33:12.537163', '2022-03-09 14:33:12.537163')
D, [2022-03-09T15:33:12.560547 #6176] DEBUG -- :   TRANSACTION (18.3ms)  COMMIT
D, [2022-03-09T15:33:12.562056 #6176] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-09T15:33:12.562830 #6176] DEBUG -- :   Category Create (0.4ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('SUP', 'Little apple', '2022-03-09 14:33:12.561110', '2022-03-09 14:33:12.561110')
D, [2022-03-09T15:33:12.571337 #6176] DEBUG -- :   TRANSACTION (8.1ms)  COMMIT
D, [2022-03-09T15:33:12.572847 #6176] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-09T15:33:12.573603 #6176] DEBUG -- :   Category Create (0.4ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('ELE', 'SUP', '2022-03-09 14:33:12.571935', '2022-03-09 14:33:12.571935')
D, [2022-03-09T15:33:12.583756 #6176] DEBUG -- :   TRANSACTION (9.7ms)  COMMIT
D, [2022-03-09T15:33:12.585232 #6176] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
